cycle_type,total_heat_load,breeder_heat_load,divertor_heat_load,wall_heat_load,thermal_efficiency_cycle,thermal_efficiency_plant
rankine,1.0e6,0.5,0.1,0.9,0.34485874925643367,-0.26997501163143856
brayton,1.0e6,0.5,0.1,0.9,0.2700486923198959,-40.76786315148315
rankine,1.189841695416561e6,0.5,0.1,0.9,0.3460169377369303,-0.18345760358642882
brayton,1.189841695416561e6,0.5,0.1,0.9,0.27007392854437906,-33.9885208919554
rankine,1.4157232601517623e6,0.5,0.1,0.9,0.347309855175991,-0.11109030938774511
brayton,1.4157232601517623e6,0.5,0.1,0.9,0.27010394094038137,-28.29083161901023
rankine,1.6844865640996376e6,0.5,0.1,0.9,0.3488532937413241,-0.050038228844722754
brayton,1.6844865640996376e6,0.5,0.1,0.9,0.270139630122608,-23.50221441076127
rankine,2.0042723493347345e6,0.5,0.1,0.9,0.35065907592240997,0.0013732273417939034
brayton,2.0042723493347345e6,0.5,0.1,0.9,0.2700663839909666,-19.34137693083229
rankine,2.3847668102089795e6,0.5,0.1,0.9,0.3526556178321195,0.0442538315212756
brayton,2.3847668102089795e6,0.5,0.1,0.9,0.27009499055807384,-15.958949017246347
rankine,2.8374949846322024e6,0.5,0.1,0.9,0.3549654075936971,0.08036016651333044
brayton,2.8374949846322024e6,0.5,0.1,0.9,0.27029248232210334,-13.25235857781418
rankine,3.3761698432507757e6,0.5,0.1,0.9,0.35748715803871944,0.11035599482388514
brayton,3.3761698432507757e6,0.5,0.1,0.9,0.2703637513335182,-10.863122951862263
rankine,4.017107650307785e6,0.5,0.1,0.9,0.3603051465439041,0.13542525686009477
brayton,4.017107650307785e6,0.5,0.1,0.9,0.2704484325688037,-8.855080477490983
rankine,4.779722177313052e6,0.5,0.1,0.9,0.3634684405867784,0.15641308314779034
brayton,4.779722177313052e6,0.5,0.1,0.9,0.27054902369812794,-7.167408284173035
rankine,5.687112739074311e6,0.5,0.1,0.9,0.3668859387904687,0.17371862054945197
brayton,5.687112739074311e6,0.5,0.1,0.9,0.270668476625022,-5.748987400237611
rankine,6.766763863485315e6,0.5,0.1,0.9,0.3705469769301021,0.18788525067904738
brayton,6.766763863485315e6,0.5,0.1,0.9,0.27081027560054693,-4.556854378076281
rankine,8.051377787812903e6,0.5,0.1,0.9,0.3744283511041401,0.19934548787553563
brayton,8.051377787812903e6,0.5,0.1,0.9,0.27097852690387747,-3.55489994724559
rankine,9.579864997490564e6,0.5,0.1,0.9,0.3786089276819473,0.20860660906163786
brayton,9.579864997490564e6,0.5,0.1,0.9,0.2711780610033835,-2.7127752781692234
rankine,1.1398522810475966e7,0.5,0.1,0.9,0.38291731090838954,0.21571616936504223
brayton,1.1398522810475966e7,0.5,0.1,0.9,0.27141454780231067,-2.0049727276035334
rankine,1.3562437706061097e7,0.5,0.1,0.9,0.38729645713178895,0.22087566543370007
brayton,1.3562437706061097e7,0.5,0.1,0.9,0.27169462503521236,-1.4100532220311481
rankine,1.6137153874161264e7,0.5,0.1,0.9,0.39176459973039723,0.22431503882006887
brayton,1.6137153874161264e7,0.5,0.1,0.9,0.2720260390219288,-0.9099968767782616
rankine,1.9200658524830006e7,0.5,0.1,0.9,0.3963384235118851,0.22618205194930907
brayton,1.9200658524830006e7,0.5,0.1,0.9,0.2722930702972356,-0.4738294238471057
rankine,2.284574409229823e7,0.5,0.1,0.9,0.40208415086480964,0.22754109361939778
brayton,2.284574409229823e7,0.5,0.1,0.9,0.2727331443609371,-0.12050347655711913
rankine,2.7182818883833066e7,0.5,0.1,0.9,0.41034255838214784,0.18633818529760082
brayton,2.7182818883833066e7,0.5,0.1,0.9,0.27325220955245044,0.17653508732165224
rankine,3.234325130694131e7,0.5,0.1,0.9,0.42094838188887784,0.2309628472156664
brayton,3.234325130694131e7,0.5,0.1,0.9,0.2740673654597562,0.4105606043120186
rankine,3.848334897033504e7,0.5,0.1,0.9,0.4341024982341283,0.19297792675690795
brayton,3.848334897033504e7,0.5,0.1,0.9,0.27482116543290047,0.620632649842285
rankine,4.57890931841707e7,0.5,0.1,0.9,0.44837185031912963,0.19386144790816706
brayton,4.57890931841707e7,0.5,0.1,0.9,0.2754244151002537,0.8129642534969903
rankine,5.448177226584069e7,0.5,0.1,0.9,0.4630632508681466,0.2277027573072541
brayton,5.448177226584069e7,0.5,0.1,0.9,0.2767366803881953,0.9460653810633967
rankine,6.482468428208699e7,0.5,0.1,0.9,0.4233118176244356,0.23079638122811386
brayton,6.482468428208699e7,0.5,0.1,0.9,0.27755895892499993,0.913258335133463
rankine,7.713111225104184e7,0.5,0.1,0.9,0.41323792706318974,0.22916787835281716
brayton,7.713111225104184e7,0.5,0.1,0.9,0.27880335322700456,0.7312350676423862
rankine,9.17738133701449e7,0.5,0.1,0.9,0.4086313451918149,0.2284565154236342
brayton,9.17738133701449e7,0.5,0.1,0.9,0.28925578635115046,0.5064940621180248
rankine,1.091963096951765e8,0.5,0.1,0.9,0.4325928095051623,0.23091496297242053
brayton,1.091963096951765e8,0.5,0.1,0.9,0.2827980978751996,0.6590121244755421
rankine,1.2992632226094094e8,0.5,0.1,0.9,0.41511440560018353,0.23006078266820162
brayton,1.2992632226094094e8,0.5,0.1,0.9,0.28491443640824055,0.5953601652429683
rankine,1.5459175555819675e8,0.5,0.1,0.9,0.42915328774232187,0.23167707482659594
brayton,1.5459175555819675e8,0.5,0.1,0.9,0.30444455542782023,0.36214839192598247
rankine,1.839397165307878e8,0.5,0.1,0.9,0.4325532275808519,0.23194787225705216
brayton,1.839397165307878e8,0.5,0.1,0.9,0.2900195300534083,0.49525061834115436
rankine,2.1885914417143464e8,0.5,0.1,0.9,0.43181270132944927,0.2319252855825502
brayton,2.1885914417143464e8,0.5,0.1,0.9,0.2930362154346966,0.4557636783741883
rankine,2.6040773515835792e8,0.5,0.1,0.9,0.43460823121101466,0.2320258419275809
brayton,2.6040773515835792e8,0.5,0.1,0.9,0.29636804167288455,0.4216637946200691
rankine,3.09843981100408e8,0.5,0.1,0.9,0.4337858782225479,0.23190407356355092
brayton,3.09843981100408e8,0.5,0.1,0.9,0.30000570415945926,0.3919215347359971
rankine,3.686652877871272e8,0.5,0.1,0.9,0.46284417133351097,0.24138307652609137
brayton,3.686652877871272e8,0.5,0.1,0.9,0.3039258816240301,0.3656408875694619
rankine,4.386533310618707e8,0.5,0.1,0.9,0.39445241840234546,0.22571416541082456
brayton,4.386533310618707e8,0.5,0.1,0.9,0.30808891151045226,0.3420327179418726
rankine,5.219280231307794e8,0.5,0.1,0.9,0.39448977659288953,0.22574881657631019
brayton,5.219280231307794e8,0.5,0.1,0.9,0.32783420543116515,0.2758209838128155
rankine,6.210117239273419e8,0.5,0.1,0.9,0.4596921535626297,0.244584108087596
brayton,6.210117239273419e8,0.5,0.1,0.9,0.32788922500267625,0.27590417267692147
rankine,7.389056424712714e8,0.5,0.1,0.9,0.4610518294773015,0.24465151885380287
brayton,7.389056424712714e8,0.5,0.1,0.9,0.334828564475415,0.26223304092421507
rankine,8.791807423908827e8,0.5,0.1,0.9,0.4613714081655985,0.24467094991141314
brayton,8.791807423908827e8,0.5,0.1,0.9,0.32953757253689164,0.2753341384137177
rankine,1.0460859051039609e9,0.5,0.1,0.9,0.4618919047622042,0.2447320952091938
brayton,1.0460859051039609e9,0.5,0.1,0.9,0.33909457371135343,0.25420288548373093
rankine,1.2446766268802671e9,0.5,0.1,0.9,0.4591403227510521,0.24463950207406793
brayton,1.2446766268802671e9,0.5,0.1,0.9,0.34727977214618255,0.24431853562397654
rankine,1.4809681479725866e9,0.5,0.1,0.9,0.4615946927931568,0.24473982217708057
brayton,1.4809681479725866e9,0.5,0.1,0.9,0.34725428812282666,0.2443190942054012
rankine,1.7621176520416307e9,0.5,0.1,0.9,0.4630332870087914,0.24440664148634417
brayton,1.7621176520416307e9,0.5,0.1,0.9,0.34577041533579533,0.23566980707602692
rankine,2.096641054628668e9,0.5,0.1,0.9,0.46431327126077204,0.2358448084867233
brayton,2.096641054628668e9,0.5,0.1,0.9,0.35298240219480637,0.24290790551239017
rankine,2.494670947119346e9,0.5,0.1,0.9,0.4637217160453351,0.23053535503367684
brayton,2.494670947119346e9,0.5,0.1,0.9,0.3583648480316336,0.22912270110274024
rankine,2.9682635092269273e9,0.5,0.1,0.9,0.4653379590654949,0.19912397235800128
brayton,2.9682635092269273e9,0.5,0.1,0.9,0.36381238156149565,0.21945517399698733
rankine,3.5317636862616854e9,0.5,0.1,0.9,0.4647720555641127,0.1650531150704715
brayton,3.5317636862616854e9,0.5,0.1,0.9,0.3669540757634243,0.19908312873954148
rankine,4.202239692272256e9,0.5,0.1,0.9,0.4651801926983776,0.13878169251111894
brayton,4.202239692272256e9,0.5,0.1,0.9,0.3669110852380322,0.16548265833615083
rankine,4.999999999999999e9,0.5,0.1,0.9,0.4654890029437646,0.11697772733192635
brayton,4.999999999999999e9,0.5,0.1,0.9,0.36685983376066733,0.13724321225452119
rankine,1.0e6,0.5204166666666666,0.1,0.9,0.344944557990185,-0.2657313513862454
brayton,1.0e6,0.5204166666666666,0.1,0.9,0.2700506446533011,-40.7723926881918
rankine,1.189841695416561e6,0.5204166666666666,0.1,0.9,0.34611666429995713,-0.17920802488095444
brayton,1.189841695416561e6,0.5204166666666666,0.1,0.9,0.27007625073190766,-33.9930504877141
rankine,1.4157232601517623e6,0.5204166666666666,0.1,0.9,0.34742534792881197,-0.10683393883185044
brayton,1.4157232601517623e6,0.5204166666666666,0.1,0.9,0.27010670287218275,-28.295361285021823
rankine,1.6844865640996376e6,0.5204166666666666,0.1,0.9,0.3489845074926975,-0.04578391898493961
brayton,1.6844865640996376e6,0.5204166666666666,0.1,0.9,0.27014291482288366,-23.506744160352262
rankine,2.0042723493347345e6,0.5204166666666666,0.1,0.9,0.3508116485959599,0.005647323753859457
brayton,2.0042723493347345e6,0.5204166666666666,0.1,0.9,0.2700750303057392,-19.35147777465497
rankine,2.3847668102089795e6,0.5204166666666666,0.1,0.9,0.35282959479667164,0.04853890146509132
brayton,2.3847668102089795e6,0.5204166666666666,0.1,0.9,0.27010527407810325,-15.969049807029073
rankine,2.8374949846322024e6,0.5204166666666666,0.1,0.9,0.35516245305476146,0.08465812673430573
brayton,2.8374949846322024e6,0.5204166666666666,0.1,0.9,0.27029800409850924,-13.256888685834031
rankine,3.3761698432507757e6,0.5204166666666666,0.1,0.9,0.3577089042656898,0.11466859700718968
brayton,3.3761698432507757e6,0.5204166666666666,0.1,0.9,0.27037031513285614,-10.867653227263844
rankine,4.017107650307785e6,0.5204166666666666,0.1,0.9,0.3604896532657017,0.13958785139126584
brayton,4.017107650307785e6,0.5204166666666666,0.1,0.9,0.2704562336330465,-8.859610951990138
rankine,4.779722177313052e6,0.5204166666666666,0.1,0.9,0.36372344417613867,0.16071748856060752
brayton,4.779722177313052e6,0.5204166666666666,0.1,0.9,0.27055829327429015,-7.171938995481133
rankine,5.687112739074311e6,0.5204166666666666,0.1,0.9,0.3671788311786577,0.17807293557928694
brayton,5.687112739074311e6,0.5204166666666666,0.1,0.9,0.27067948836751354,-5.753518393189838
rankine,6.766763863485315e6,0.5204166666666666,0.1,0.9,0.3708745240925606,0.1922810014130527
brayton,6.766763863485315e6,0.5204166666666666,0.1,0.9,0.2708233530142319,-4.561385705969091
rankine,8.051377787812903e6,0.5204166666666666,0.1,0.9,0.3747816035774372,0.2037690038260931
brayton,8.051377787812903e6,0.5204166666666666,0.1,0.9,0.2709940519562747,-3.5594316734220657
rankine,9.579864997490564e6,0.5204166666666666,0.1,0.9,0.3789887387617802,0.21306545732916937
brayton,9.579864997490564e6,0.5204166666666666,0.1,0.9,0.2711964840324168,-2.7173074778967594
rankine,1.1398522810475966e7,0.5204166666666666,0.1,0.9,0.3833162933350872,0.22020556308372896
brayton,1.1398522810475966e7,0.5204166666666666,0.1,0.9,0.2714363988341253,-2.0095054902956426
rankine,1.3562437706061097e7,0.5204166666666666,0.1,0.9,0.38769498609447284,0.22537849400350796
brayton,1.3562437706061097e7,0.5204166666666666,0.1,0.9,0.27172052659999557,-1.4145866538735574
rankine,1.6137153874161264e7,0.5204166666666666,0.1,0.9,0.392200008676174,0.22888392346071995
brayton,1.6137153874161264e7,0.5204166666666666,0.1,0.9,0.2711924303455526,-0.7853141447278149
rankine,1.9200658524830006e7,0.5204166666666666,0.1,0.9,0.39697161377829004,0.2309859433826985
brayton,1.9200658524830006e7,0.5204166666666666,0.1,0.9,0.2723346428403832,-0.47902264575840037
rankine,2.284574409229823e7,0.5204166666666666,0.1,0.9,0.4029373946739453,0.2325904333424781
brayton,2.284574409229823e7,0.5204166666666666,0.1,0.9,0.2727823246759573,-0.12569886611186498
rankine,2.7182818883833066e7,0.5204166666666666,0.1,0.9,0.411428994776061,0.19104913455009964
brayton,2.7182818883833066e7,0.5204166666666666,0.1,0.9,0.27347631393043137,0.15623334919821752
rankine,3.234325130694131e7,0.5204166666666666,0.1,0.9,0.4221734276069019,0.23646014734648702
brayton,3.234325130694131e7,0.5204166666666666,0.1,0.9,0.2741271784660807,0.4060213962742968
rankine,3.848334897033504e7,0.5204166666666666,0.1,0.9,0.43569487318734856,0.2379867156273361
brayton,3.848334897033504e7,0.5204166666666666,0.1,0.9,0.274891601898272,0.6160915655892039
rankine,4.57890931841707e7,0.5204166666666666,0.1,0.9,0.4506216325105439,0.1995641591558922
brayton,4.57890931841707e7,0.5204166666666666,0.1,0.9,0.2755195346881171,0.8077553495523747
rankine,5.448177226584069e7,0.5204166666666666,0.1,0.9,0.46339622586384654,0.23296591081970974
brayton,5.448177226584069e7,0.5204166666666666,0.1,0.9,0.27683379141512665,0.9415194365007318
rankine,6.482468428208699e7,0.5204166666666666,0.1,0.9,0.4244951411717922,0.23637046940150552
brayton,6.482468428208699e7,0.5204166666666666,0.1,0.9,0.277689807498697,0.918478282085919
rankine,7.713111225104184e7,0.5204166666666666,0.1,0.9,0.4086335064647504,0.2330307256120857
brayton,7.713111225104184e7,0.5204166666666666,0.1,0.9,0.2790469132112178,0.8130745539278922
rankine,9.17738133701449e7,0.5204166666666666,0.1,0.9,0.4243689374811762,0.23522515563953328
brayton,9.17738133701449e7,0.5204166666666666,0.1,0.9,0.28501491872314655,0.5743585604181196
