cycle_type,total_heat_load,breeder_heat_load,divertor_heat_load,wall_heat_load,thermal_efficiency_cycle,thermal_efficiency_plant
rankine,1.9765709878143796e8,0.5700000000000001,0.1,0.9,0.45085021863825714,0.25462804875958567
brayton,1.9765709878143796e8,0.5700000000000001,0.1,0.9,0.2922134354865795,0.4941094482828998
rankine,2.651325850901773e8,0.5700000000000001,0.1,0.9,0.463179919471967,0.2641758160225932
brayton,2.651325850901773e8,0.5700000000000001,0.1,0.9,0.2979435879284058,0.43445489730622067
rankine,3.556426159746977e8,0.5700000000000001,0.1,0.9,0.39423373110027027,0.25726752380595486
brayton,3.556426159746977e8,0.5700000000000001,0.1,0.9,0.30456295495530517,0.3870577267727512
rankine,4.7705064337643623e8,0.5700000000000001,0.1,0.9,0.39430871915420174,0.2572937787397126
brayton,4.7705064337643623e8,0.5700000000000001,0.1,0.9,0.31182479563617505,0.34686441171534066
rankine,6.399045168480675e8,0.5700000000000001,0.1,0.9,0.4646560105171399,0.26975376191736766
brayton,6.399045168480675e8,0.5700000000000001,0.1,0.9,0.3304097033142587,0.3136486517577345
rankine,8.58352873783763e8,0.5700000000000001,0.1,0.9,0.46529168201064297,0.27010343945765647
brayton,8.58352873783763e8,0.5700000000000001,0.1,0.9,0.3429180127406687,0.28280589071222706
rankine,1.1513743637283602e9,0.5700000000000001,0.1,0.9,0.4656346574284367,0.27019039415353185
brayton,1.1513743637283602e9,0.5700000000000001,0.1,0.9,0.3343061048478403,0.3016609652775678
rankine,1.5444265009647338e9,0.5700000000000001,0.1,0.9,0.4656030144301144,0.22740682883919516
brayton,1.5444265009647338e9,0.5700000000000001,0.1,0.9,0.3447718683298254,0.2785875041030591
rankine,2.0716573966075604e9,0.5700000000000001,0.1,0.9,0.4581981674760004,0.26135623746211956
brayton,2.0716573966075604e9,0.5700000000000001,0.1,0.9,0.35449323145287337,0.25472847553625977
rankine,2.7788725240326695e9,0.5700000000000001,0.1,0.9,0.4653798474068298,0.21698988445872325
brayton,2.7788725240326695e9,0.5700000000000001,0.1,0.9,0.36509853965215167,0.24459696282958965
rankine,3.72751426827092e9,0.5700000000000001,0.1,0.9,0.464814154441045,0.15975621709532062
brayton,3.72751426827092e9,0.5700000000000001,0.1,0.9,0.36691329978418896,0.18920447838180698
rankine,4.999999999999999e9,0.5700000000000001,0.1,0.9,0.46518131658943196,0.11628225191483466
brayton,4.999999999999999e9,0.5700000000000001,0.1,0.9,0.3669048105271987,0.13874606695850034
rankine,1.0e6,0.605,0.1,0.9,0.3452993862087207,-0.24810430904529146
brayton,1.0e6,0.605,0.1,0.9,0.27005873350493503,-40.79116044768721
rankine,1.3413764884981478e6,0.605,0.1,0.9,0.3474398990571651,-0.11037375306207786
brayton,1.3413764884981478e6,0.605,0.1,0.9,0.2701075255682399,-29.977614791395425
rankine,1.7992908838956216e6,0.605,0.1,0.9,0.3502542628560237,-0.007310130331583009
brayton,1.7992908838956216e6,0.605,0.1,0.9,0.27017291051368975,-21.91607101027239
rankine,2.4135264876266425e6,0.605,0.1,0.9,0.35370938808416363,0.06912010170314442
brayton,2.4135264876266425e6,0.605,0.1,0.9,0.2701506570051775,-15.798584655056576
rankine,3.2374476848698943e6,0.605,0.1,0.9,0.3579509279299318,0.12588670615574193
brayton,3.2374476848698943e6,0.605,0.1,0.9,0.27037779042547805,-11.425706012545534
rankine,4.342636207227237e6,0.605,0.1,0.9,0.36297622055396483,0.16772334779543585
brayton,4.342636207227237e6,0.605,0.1,0.9,0.2705347503546681,-8.085488788762845
rankine,5.825110106475398e6,0.605,0.1,0.9,0.3688773278312376,0.1984854075111755
brayton,5.825110106475398e6,0.605,0.1,0.9,0.27074463351784384,-5.595299941228184
rankine,7.813665739739025e6,0.605,0.1,0.9,0.37546663006730374,0.2205126086790884
brayton,7.813665739739025e6,0.605,0.1,0.9,0.27067440678106947,-3.6317596062527286
rankine,1.0481067512269437e7,0.605,0.1,0.9,0.3828041993140472,0.23599268552881614
brayton,1.0481067512269437e7,0.605,0.1,0.9,0.2709319773064506,-2.2479047556572636
rankine,1.4059057535320025e7,0.605,0.1,0.9,0.3903958417168396,0.24569787498537066
brayton,1.4059057535320025e7,0.605,0.1,0.9,0.2712763037490151,-1.216278321255817
rankine,1.885848922832096e7,0.605,0.1,0.9,0.39852095097059004,0.2509934953206422
brayton,1.885848922832096e7,0.605,0.1,0.9,0.2724617508195001,-0.5407485187429422
rankine,2.5296334059465367e7,0.605,0.1,0.9,0.41176597648710833,0.256615674976325
brayton,2.5296334059465367e7,0.605,0.1,0.9,0.27330613557600425,0.03306051313155345
rankine,3.393190775256175e7,0.605,0.1,0.9,0.43321386787488037,0.2636279379127636
brayton,3.393190775256175e7,0.605,0.1,0.9,0.27441966869943524,0.4610780212525686
rankine,4.551546326917436e7,0.605,0.1,0.9,0.46027775260500126,0.2259522752626567
brayton,4.551546326917436e7,0.605,0.1,0.9,0.27587994765396917,0.7804893670929942
rankine,6.105337229237153e7,0.605,0.1,0.9,0.44819757924339654,0.265122807188251
brayton,6.105337229237153e7,0.605,0.1,0.9,0.27805960508567185,0.9930350572231977
rankine,8.189555813651161e7,0.605,0.1,0.9,0.4362591733087827,0.26328514113918355
brayton,8.189555813651161e7,0.605,0.1,0.9,0.2805862246921963,0.8144236680485732
rankine,1.0985277619674985e8,0.605,0.1,0.9,0.4511762059395198,0.2664469613867252
brayton,1.0985277619674985e8,0.605,0.1,0.9,0.28379587766740544,0.6803791661605644
rankine,1.4735393118656895e8,0.605,0.1,0.9,0.4548215647730026,0.2668186650222908
brayton,1.4735393118656895e8,0.605,0.1,0.9,0.3011646891611517,0.42421719902705046
rankine,1.9765709878143796e8,0.605,0.1,0.9,0.4558847016504993,0.26660457983416386
brayton,1.9765709878143796e8,0.605,0.1,0.9,0.2927130337772338,0.5022781890901027
rankine,2.651325850901773e8,0.605,0.1,0.9,0.46405092465371944,0.2766876013638495
brayton,2.651325850901773e8,0.605,0.1,0.9,0.2985628369178144,0.44275871207146866
rankine,3.556426159746977e8,0.605,0.1,0.9,0.3941846083217202,0.2730576233884603
brayton,3.556426159746977e8,0.605,0.1,0.9,0.30531842229955664,0.39554035824334954
rankine,4.7705064337643623e8,0.605,0.1,0.9,0.3942434886794006,0.27313645253921615
brayton,4.7705064337643623e8,0.605,0.1,0.9,0.3302939009708008,0.33276894346907093
rankine,6.399045168480675e8,0.605,0.1,0.9,0.4651208960931026,0.2820921671317579
brayton,6.399045168480675e8,0.605,0.1,0.9,0.33001932135280565,0.33243933824429517
rankine,8.58352873783763e8,0.605,0.1,0.9,0.4618510526184425,0.28057408426958386
brayton,8.58352873783763e8,0.605,0.1,0.9,0.3450584657842023,0.2955754952510773
rankine,1.1513743637283602e9,0.605,0.1,0.9,0.465589443629046,0.2839395620258154
brayton,1.1513743637283602e9,0.605,0.1,0.9,0.3361383931885614,0.3155535303086232
rankine,1.5444265009647338e9,0.605,0.1,0.9,0.46555308893089375,0.283669571583384
brayton,1.5444265009647338e9,0.605,0.1,0.9,0.3535037515508148,0.27047477893819094
rankine,2.0716573966075604e9,0.605,0.1,0.9,0.4652522182342428,0.2809654325605965
brayton,2.0716573966075604e9,0.605,0.1,0.9,0.3561796792326233,0.26571346993261735
rankine,2.7788725240326695e9,0.605,0.1,0.9,0.465541891548484,0.15729081277707035
brayton,2.7788725240326695e9,0.605,0.1,0.9,0.36662133324221646,0.25547605398656725
rankine,3.72751426827092e9,0.605,0.1,0.9,0.46510240696175265,0.15790846086792176
brayton,3.72751426827092e9,0.605,0.1,0.9,0.36684440804362484,0.18950944699814698
rankine,4.999999999999999e9,0.605,0.1,0.9,0.46517341371629617,0.11706056808417842
brayton,4.999999999999999e9,0.605,0.1,0.9,0.36692726765250505,0.13949749431048986
rankine,1.0e6,0.64,0.1,0.9,0.34544589807208426,-0.24078859154466548
brayton,1.0e6,0.64,0.1,0.9,0.27006208090488215,-40.79892761226416
rankine,1.3413764884981478e6,0.64,0.1,0.9,0.3476282249211209,-0.10302622286100882
brayton,1.3413764884981478e6,0.64,0.1,0.9,0.2701120132292434,-29.98538290420169
rankine,1.7992908838956216e6,0.64,0.1,0.9,0.35049317578103834,7.99636991556385e-5
brayton,1.7992908838956216e6,0.64,0.1,0.9,0.2701789257315437,-21.92384039494911
rankine,2.4135264876266425e6,0.64,0.1,0.9,0.3539762435983336,0.07643809616391706
brayton,2.4135264876266425e6,0.64,0.1,0.9,0.270168481763974,-15.81589837674461
rankine,3.2374476848698943e6,0.64,0.1,0.9,0.35831748721092005,0.1334052023992729
brayton,3.2374476848698943e6,0.64,0.1,0.9,0.27038858862343773,-11.43347939127279
rankine,4.342636207227237e6,0.64,0.1,0.9,0.36347758520973783,0.17549051024905238
brayton,4.342636207227237e6,0.64,0.1,0.9,0.2705492092132874,-8.093265236335963
rankine,5.825110106475398e6,0.64,0.1,0.9,0.36939506777508935,0.2062203211988083
brayton,5.825110106475398e6,0.64,0.1,0.9,0.27076398244059396,-5.603080504617534
rankine,7.813665739739025e6,0.64,0.1,0.9,0.3760603457343158,0.22840361622215455
brayton,7.813665739739025e6,0.64,0.1,0.9,0.27073166238050705,-3.6490677405621934
rankine,1.0481067512269437e7,0.64,0.1,0.9,0.3834500975692231,0.24405828023844323
brayton,1.0481067512269437e7,0.64,0.1,0.9,0.2710084819992581,-2.265210132013086
rankine,1.4059057535320025e7,0.64,0.1,0.9,0.3911204359323389,0.2540406112772755
brayton,1.4059057535320025e7,0.64,0.1,0.9,0.27137839478417825,-1.233580000166909
rankine,1.885848922832096e7,0.64,0.1,0.9,0.3996092222932305,0.2600038328453784
brayton,1.885848922832096e7,0.64,0.1,0.9,0.2725318444428816,-0.5496838646521625
rankine,2.5296334059465367e7,0.64,0.1,0.9,0.41400708099979133,0.21882128652388033
brayton,2.5296334059465367e7,0.64,0.1,0.9,0.2733992334110752,0.024107349150002566
rankine,3.393190775256175e7,0.64,0.1,0.9,0.4363373136733062,0.27555209119879664
brayton,3.393190775256175e7,0.64,0.1,0.9,0.2746938235950873,0.4408965226509901
rankine,4.551546326917436e7,0.64,0.1,0.9,0.4649019489586226,0.23826066188007056
brayton,4.551546326917436e7,0.64,0.1,0.9,0.276042439605778,0.7714804894165561
rankine,6.105337229237153e7,0.64,0.1,0.9,0.43841794601479067,0.27046854376756413
brayton,6.105337229237153e7,0.64,0.1,0.9,0.27799398763426786,0.9900075716321927
rankine,8.189555813651161e7,0.64,0.1,0.9,0.455861755194494,0.28003892942344955
brayton,8.189555813651161e7,0.64,0.1,0.9,0.2865290858441055,0.610465131269067
rankine,1.0985277619674985e8,0.64,0.1,0.9,0.4538832076029502,0.2783001787262207
